# Data for Prokaryotes_0213
ACAR001c01 : circular
ACAV001c01 : circular
ACAV002c01 : circular
ACBA001c01 : circular
ACBA001p01 : circular
ACBA001p02 : circular
ACBA002c01 : circular
ACBA002p01 : circular
ACBA002p02 : circular
ACBA002p03 : circular
ACBA003c01 : circular
ACBA003p01 : circular
ACBA003p02 : circular
ACBA003p03 : circular
ACBA003p04 : circular
ACBA004c01 : circular
ACBA004p01 : circular
ACBA004p02 : circular
ACBA005c01 : circular
ACBA006c01 : circular
ACBA006p01 : circular
ACBA007c01 : circular
ACBA007p01 : circular
ACBA008c01 : circular
ACBA008p01 : circular
ACBA008p02 : circular
ACBA009c01 : circular
ACBA009p01 : circular
ACBA009p02 : circular
ACBA010c01 : circular
ACBA010p01 : circular
ACBA011c01 : circular
ACBO001c01 : circular
ACCA001c01 : circular
ACCD001c01 : circular
ACCD001p01 : circular
ACCD001p02 : circular
ACCD001p03 : circular
ACCD001p04 : circular
ACCE001c01 : circular
ACCL001c01 : circular
ACCR001c01 : circular
ACCR001p01 : circular
ACCR001p02 : circular
ACCR001p03 : circular
ACCR001p04 : circular
ACCR001p05 : circular
ACCR001p06 : circular
ACCR001p07 : circular
ACCR001p08 : circular
ACDR001c01 : circular
ACFE001c01 : circular
ACFE002c01 : circular
ACFM001c01 : circular
ACFR001c01 : circular
ACHO001c01 : circular
ACIN001c01 : circular
ACJS001c01 : circular
ACJS001p01 : circular
ACJS001p02 : circular
ACKK001c01 : circular
ACLA001c01 : circular
ACMA001c01 : circular
ACMA001p01 : circular
ACMA001p02 : circular
ACMA001p03 : circular
ACMA001p04 : circular
ACMA001p05 : circular
ACMA001p06 : circular
ACMA001p07 : circular
ACMA001p08 : circular
ACMA001p09 : circular
ACMI001c01 : circular
ACMP001c01 : circular
ACMP001p01 : circular
ACMP001p02 : circular
ACMP001p03 : circular
ACMP001p04 : circular
ACMP001p05 : circular
ACMR001c01 : circular
ACMS001c01 : circular
ACMU001c01 : circular
ACMU001p01 : circular
ACMU001p02 : circular
ACMU001p03 : circular
ACMU001p04 : circular
ACMU001p05 : circular
ACMU001p06 : circular
ACMU001p07 : circular
ACMU001p08 : circular
ACPA001c01 : circular
