# macsyfinder 20220729.dev
# models : TFF-SF-None
# /home/bneron/Projects/GEM/MacSyFinder/MacSyFinder/py39/bin/macsyfinder --sequence-db data/base/GCF_000006745.fasta --models TFF-SF all --models-dir data/models/ --db-type gembase -w 4
# Rejected candidates found:
candidate_id	replicon	model_fqn	hit_id	hit_pos	gene_name	function	reasons
GCF_000006745_Archaeal-T4P_1	GCF_000006745	TFF-SF/Archaeal-T4P	GCF_000006745_018740	1874	Archaeal-T4P_arCOG00589	Archaeal-T4P_arCOG00589	The quorum of mandatory genes required (3) is not reached: 0/The quorum of genes required (3) is not reached: 1
GCF_000006745_Archaeal-T4P_1	GCF_000006745	TFF-SF/Archaeal-T4P	GCF_000006745_018800	1880	Archaeal-T4P_arCOG00589	Archaeal-T4P_arCOG00589	The quorum of mandatory genes required (3) is not reached: 0/The quorum of genes required (3) is not reached: 1

GCF_000006745_Archaeal-T4P_2	GCF_000006745	TFF-SF/Archaeal-T4P	GCF_000006745_026670	2667	Archaeal-T4P_arCOG02900	Archaeal-T4P_arCOG02900	The quorum of mandatory genes required (3) is not reached: 0/The quorum of genes required (3) is not reached: 1
GCF_000006745_Archaeal-T4P_2	GCF_000006745	TFF-SF/Archaeal-T4P	GCF_000006745_026680	2668	Archaeal-T4P_arCOG02900	Archaeal-T4P_arCOG02900	The quorum of mandatory genes required (3) is not reached: 0/The quorum of genes required (3) is not reached: 1

GCF_000006745_ComM_4	GCF_000006745	TFF-SF/ComM	GCF_000006745_017080	1708	ComM_comEC	ComM_comEC	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (4) is not reached: 1

GCF_000006745_ComM_5	GCF_000006745	TFF-SF/ComM	GCF_000006745_017080	1708	ComM_comEC	ComM_comEC	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (4) is not reached: 2
GCF_000006745_ComM_5	GCF_000006745	TFF-SF/ComM	GCF_000006745_032430	3243	ComM_comEB	ComM_comEB	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (4) is not reached: 2

GCF_000006745_ComM_3	GCF_000006745	TFF-SF/ComM	GCF_000006745_032430	3243	ComM_comEB	ComM_comEB	The quorum of mandatory genes required (4) is not reached: 0/The quorum of genes required (4) is not reached: 1

GCF_000006745_MSH_6	GCF_000006745	TFF-SF/MSH	GCF_000006745_004600	460	MSH_mshA	MSH_mshA	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (4) is not reached: 1

GCF_000006745_T2SS_7	GCF_000006745	TFF-SF/T2SS	GCF_000006745_021980	2198	T4P_pilD	T2SS_gspO	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (6) is not reached: 1

GCF_000006745_T4P_8	GCF_000006745	TFF-SF/T4P	GCF_000006745_004240	424	T4P_pilT	T4P_pilT	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (5) is not reached: 2
GCF_000006745_T4P_8	GCF_000006745	TFF-SF/T4P	GCF_000006745_004250	425	T4P_pilU	T4P_pilU	The quorum of mandatory genes required (4) is not reached: 1/The quorum of genes required (5) is not reached: 2

GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_004240	424	T4P_pilT	T4P_pilT	The quorum of mandatory genes required (4) is not reached: 2
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_004250	425	T4P_pilU	T4P_pilU	The quorum of mandatory genes required (4) is not reached: 2
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_007820	782	T4P_pilE	T4P_pilE	The quorum of mandatory genes required (4) is not reached: 2
GCF_000006745_T4P_12	GCF_000006745	TFF-SF/T4P	GCF_000006745_007830	783	T4P_fimT	T4P_fimT	The quorum of mandatory genes required (4) is not reached: 2
